1;k;Mikor szoktál felkelni hétvégente?;
1;v;Általában koránkelő vagyok, legkésőbb 7-kor már ébren vagyok.;1
1;v;Korán kelni? Soha! Ha lehet, akkor délnél előbb fel sem kelek.;2
1;v;Rosszul alszom, ezért mindig addig alszom, amíg csak lehet.;3
2;k;Szoktál esténként nassolni?;
2;v;Egy jó film vagy sorozat, egy pizza, chips vagy pattogatott kukorica… ez az ideális esti program. ;);3
2;v;Igen, de ha lehet, akkor aszalt gyümölcsöt vagy olajos magvakat.;2
2;v;Este sosem. Vigyázok az alakomra!;1
3;k;Mennyit sportolsz?;
3;v;A sport az életem. Minden nap van valami: edzés, futás, aerobic…;1
3;v;Heti 3 alkalommal biztos. Szeretek mozogni.;2
3;v;Biztos, hogy nem. Lustaság fél egészség!;3
4;k;Mi a kedvenc sportod?;
4;v;Csapatjátékok leginkább;1
4;v;Az egyszemélyes sportok híve vagyok;2
4;v;Sport? Mi is az?;3
5;k;Mi az, amit a legszívesebben megennél most?;
5;v;Egy jó steak vagy oldalas, ha lehet hasábbal és egy kis salátával.;2
5;v;Egy lazacfilé salátával és dresszinggel jólesne most.;1
5;v;Elég lesz egy csokitorta is, köszönöm!;3
6;k;Milyen táplálékkiegészítőket szedsz rendszeresen?;
6;v;Az meg mi?;3
6;v;Vitaminokat, abból is inkább C-, D vitamin.;2
6;v;Pro- és prebiotikumokat, vitaminokat és proteint, ha edzek.;1
7;k;Mennyi húst eszel egy héten?;
7;v;Legalább 4-5 kg-ot biztosan. Kell az erő.;3
7;v;Általában 2 kg, vagy annál kevesebb.;2
7;v;Nem eszem húst, vegetáriánus vagyok.;1
8;k;Próbáltad már a húshelyettesítő termékeket?;
8;v;Igen, nekem ízlett.;1
8;v;Nem, minek? Ha húst akarok enni, akkor azt eszem.;3
8;v;Igen, de nem az én világom.;2
9;k;Mennyi tejterméket fogyasztasz?;
9;v;Minden, ami tej, sajt, az jöhet. Bármennyi, bármikor.;3
9;v;Csak akkor, ha megkívánom. Amúgy nem vagyok nagy sajtos.;2
9;v;Nem eszem ilyesmit. Ha igen, az is inkább növényi.;1
10;k;Tudod mit jelent a mikrobiom?;
10;v;A velünk élő mikróbák, ezek egy része a bélrendszerben található jótékony baktériumok.;1
10;v;A bélben található rossz baktériumok.;2
10;v;Nem tudom mi az, de nem is szeretem ezeket a latin szavas dolgokat.;3
11;k;Mennyi vizet iszol egy nap?;
11;v;1,5 L lecsúszik nagy nehezen.;2
11;v;Inkább Cola, Fanta, Hell. Ez számít?;3
11;v;2-2,5 L napi szinten megvan.;1
12;k;Mennyi a képernyőidőd a telefonodon egy hét alatt?;
12;v;50 óra fölött;3
12;v;25 óra vagy alatta;1
12;v;50 és 25 óra között;2
13;k;Hogy alszol el?;
13;v;Lefekvés előtt olvasok egy könyvet vagy beszélgetek a szüleimmel/tesómmal, alváskor sötét a szobám.;1
13;v;Tévézek vagy zenét hallgatok előtte.;2
13;v;Tévére, zenére alszom el és (ha van) éjjeli fénnyel alszom.;3